antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"['net_margin_yoy_crash', 'net_margin_low']","['ann_fin_flag_1', 'roa_low']",0.06923950056753689,0.04215988324955408,0.02059348143343603,0.297423887587822,7.054665825977301,1.0,0.01767435217325124,1.3633257661748013,0.9220952563856347,0.22678571428571428,0.2664995962001182,0.3929427130246802
['net_margin_low'],"['ann_fin_flag_1', 'roe_low']",0.131019944867845,0.04264634344089509,0.039403275498621694,0.30074257425742573,7.052013138576215,1.0,0.033815753932180434,1.3691004504420472,0.9875905845095784,0.29347826086956513,0.26959340370012613,0.6123484734404999
['debt_ratio_low'],"['ann_fin_flag_1', 'current_ratio_high']",0.13118209826495866,0.03064699205448354,0.024647316361277767,0.18788627935723112,6.130659707915578,1.0,0.0206269796380611,1.1936173263743117,0.9632460560696254,0.17966903073286047,0.16221055282637076,0.49605954179501766
['roa_high'],"['ann_fin_flag_1', 'roe_high']",0.13085779147073132,0.02707961731798281,0.021566401816118047,0.1648079306071871,6.086050946434269,1.0,0.018022822900014248,1.164906155525798,0.9615110537537873,0.1581450653983353,0.14156175134242047,0.48060755811796485
['current_ratio_high'],"['ann_fin_flag_1', 'debt_ratio_low']",0.12874979730825362,0.03178206583427923,0.024647316361277767,0.1914357682619647,6.023389708528247,1.0,0.020555381827076745,1.1974533329090067,0.9572227609783813,0.18138424821002383,0.1648943866808803,0.4834729861717987
['roe_high'],"['ann_fin_flag_1', 'roa_high']",0.1289119507053673,0.028376844494892167,0.021566401816118047,0.16729559748427672,5.895496855345912,1.0,0.017908287437418634,1.166828411822599,0.9532664498177685,0.15890083632019114,0.1429759595603362,0.46364779874213835
['net_margin_high'],"['ann_fin_flag_1', 'roa_high']",0.131019944867845,0.028376844494892167,0.02043132803632236,0.1559405940594059,5.495346534653464,1.0,0.016713395435078177,1.151131245818368,0.9413655118077584,0.147024504084014,0.13128932636254279,0.4379702970297029
['roa_high'],"['ann_fin_flag_1', 'net_margin_high']",0.13085779147073132,0.029025458083346847,0.02043132803632236,0.15613382899628253,5.379202924134494,1.0,0.016633120695109305,1.1506262192756815,0.9366693319118692,0.14651162790697672,0.130908036643299,0.43002222176071103
['current_ratio_low'],"['ann_fin_flag_1', 'debt_ratio_high']",0.12874979730825362,0.03551159396789363,0.02399870277282309,0.18639798488664985,5.248933209114017,1.0,0.019426592247363785,1.1854547900766137,0.9291074994592583,0.17109826589595376,0.15644189186213342,0.43109853582232033
['debt_ratio_high'],"['current_ratio_low', 'ann_fin_flag_1']",0.13118209826495866,0.037781741527485,0.02399870277282309,0.1829419035846724,4.842071757110192,1.0,0.019042414643143282,1.1776619835162854,0.9132832440503212,0.16554809843400445,0.15085991226940929,0.40906751831594135
