Symbol,ShortName,violation_year,feature_year,ann_related,ann_fin_flag,third_party_flag,roe,roa,debt_ratio,current_ratio,asset_turnover,net_margin,ocf_to_rev,ts_code,name,industry,area,list_date,p_ml,rule_score_sum,rule_score_norm,n_rules_triggered,rule_ids,risk_score,risk_level
600715,文投控股,2022,2021,1.0,1.0,0.0,-0.3330995963879412,-0.0977985291904713,0.7063985359004421,0.704183415328287,0.1075076935609521,-0.9096886553056216,0.1659677419524651,600715.SH,文投控股,影视音像,北京,19960701.0,0.7748186005255879,70.0,0.56,4,R1;R3;R4;R5,0.6888911603153527,高风险
600165,*ST 宁科,2023,2022,1.0,1.0,0.0,-0.2766313551768011,-0.0754356987283282,0.7273060435245468,0.1607760741929434,0.1843840373529901,-0.4091227191425035,0.0879085259558398,600165.SH,ST宁科,化工原料,宁夏,19980529.0,0.7475993528434467,70.0,0.56,4,R1;R3;R4;R5,0.672559611706068,高风险
300266,兴源环境,2022,2021,1.0,1.0,0.0,-0.0131867735350824,-0.0024268676491146,0.8159619832206735,0.679741951407784,0.1959494906932304,-0.0123851694665238,-0.2091117250393677,300266.SZ,兴源环境,环境保护,浙江,20110927.0,0.7331771383676059,70.0,0.56,4,R1;R3;R4;R5,0.6639062830205635,高风险
300157,新锦动力,2023,2022,0.0,,,-0.3145569178016056,-0.047962853093257,0.8475224979044723,0.6622375720532547,0.2073530013873682,-0.2313101463318335,0.2024885188239919,300157.SZ,新锦动力,专用机械,北京,20110107.0,0.7301701538301918,70.0,0.56,4,R1;R3;R4;R5,0.6621020922981151,高风险
600719,大连热电,2022,2021,0.0,,,-0.2398356041757897,-0.050961847502434,0.7875134191290418,0.6617378276375316,0.2347332625833115,-0.2171053515875138,0.097962552107425,600719.SH,大连热电,供气供热,辽宁,19960716.0,0.7243220122289629,70.0,0.56,4,R1;R3;R4;R5,0.6585932073373777,高风险
600831,广电网络,2025,2024,0.0,,,-0.5243126352395446,-0.1006952808964236,0.8079480177882444,0.7606178341263976,0.1438097524019459,-0.7001978601213499,0.1938398409970008,600831.SH,广电网络,影视音像,陕西,19940224.0,0.7176596713875746,70.0,0.56,4,R1;R3;R4;R5,0.6545958028325447,高风险
300300,海峡创新,2023,2022,0.0,,,-0.4800932835967654,-0.1323579739690086,0.724307799148098,0.5667671443104494,0.122518252662475,-1.080312288925969,0.0822477793987203,300300.SZ,海峡创新,软件服务,福建,20120319.0,0.7102189874821424,70.0,0.56,4,R1;R3;R4;R5,0.6501313924892855,高风险
300422,博世科,2023,2022,0.0,,,-0.1754330754180581,-0.037259362010906,0.787614952755535,0.7228025565840221,0.1853316547954735,-0.2010415438853356,0.0689989830662076,300422.SZ,博世科,环境保护,广西,20150217.0,0.70789401275921,70.0,0.56,4,R1;R3;R4;R5,0.648736407655526,高风险
600432,*ST 吉恩,2016,2015,1.0,0.0,,-0.6106100276088677,-0.1672243066315202,0.7261356691334304,0.5447205794791904,0.1781756912233913,-0.9385360341992972,0.2385158130697895,600432.SH,退市吉恩(退),未分类,未知,20030905.0,0.707636207143461,70.0,0.56,4,R1;R3;R4;R5,0.6485817242860766,高风险
600766,退市园城,2023,2022,1.0,1.0,0.0,-0.0215922828096747,-0.0027445498752986,0.8728920929995914,0.8751033490044469,0.2055468543471129,-0.0133524294692627,-0.1695606759156598,600766.SH,退市园城(退),未分类,未知,19961028.0,0.7030126593752442,70.0,0.56,4,R1;R3;R4;R5,0.6458075956251466,高风险
600732,ST 新梅,2016,2015,0.0,,,-0.2995312054801128,-0.1425467536452459,0.524100490909585,0.5976574483599358,0.1405275802838321,-1.01436852009645,0.3873682826606637,600732.SH,爱旭股份,电气设备,上海,19960816.0,0.7730079539083837,55.0,0.44,3,R1;R4;R5,0.6398047723450302,高风险
300318,博晖创新,2020,2019,0.0,,,0.0019257625561975,0.000751940924139,0.6095360138148058,0.7012302030585762,0.2331845239915531,0.0032246605017678,-0.0573368598628931,300318.SZ,博晖创新,医疗保健,北京,20120523.0,0.7445490819481821,60.0,0.48,3,R2;R4;R5,0.6387294491689093,高风险
600239,ST 云城,2021,2020,0.0,,,-1.6610949039563745,-0.0385070564966821,0.976818268236832,0.7718435783511677,0.0546854349959181,-0.704155622051034,0.1269920830941038,600239.SH,ST云城,区域地产,云南,19991202.0,0.6816784537026733,70.0,0.56,4,R1;R3;R4;R5,0.633007072221604,高风险
600280,中央商场,2025,2024,0.0,,,-0.2137273949305933,-0.0136824318544091,0.9359818526827016,0.5522204811122486,0.2069951826801067,-0.0661002429006002,0.1367286767152259,600280.SH,中央商场,百货,江苏,20000926.0,0.6816709278169722,70.0,0.56,4,R1;R3;R4;R5,0.6330025566901833,高风险
300492,华图山鼎,2024,2023,0.0,,,-0.4387513887203438,-0.0900835690054983,0.7946819740713875,0.8487736513374191,0.2420522223904964,-0.3721658413867766,0.7867140422930575,300492.SZ,华图山鼎,文教休闲,四川,20151223.0,0.6803711228747943,70.0,0.56,4,R1;R3;R4;R5,0.6322226737248766,高风险
300199,翰宇药业,2021,2020,1.0,1.0,0.0,-0.3631296528007631,-0.1515542998928357,0.5826441087255732,0.9544414919811268,0.1795186059867009,-0.844226140570984,0.0664947674245762,300199.SZ,翰宇药业,化学制药,深圳,20110407.0,0.75866223694717,55.0,0.44,3,R1;R4;R5,0.631197342168302,高风险
